time_ms,cpu_usage,workers_active
19349,100.00,8
19360,100.00,8
19373,100.00,8
19385,100.00,8
19397,100.00,8
19410,100.00,8
19422,100.00,8
19435,100.00,8
19447,100.00,8
19460,100.00,8
19472,100.00,8
19482,100.00,8
19494,100.00,8
19506,100.00,8
19519,100.00,8
19531,100.00,8
19544,100.00,8
19556,100.00,8
19569,100.00,8
19581,100.00,8
19594,100.00,8
19606,100.00,8
19618,100.00,8
19631,100.00,8
19644,100.00,8
19656,100.00,8
19669,100.00,8
19681,100.00,8
19694,100.00,8
19706,100.00,8
19719,100.00,8
19731,100.00,8
19744,80.00,8
19756,80.00,8
19768,80.00,8
19780,80.00,8
19791,80.00,8
19803,80.00,8
19815,80.00,8
19827,80.00,8
19840,80.00,8
19852,80.00,8
19865,80.00,8
19877,80.00,8
19890,100.00,8
19903,100.00,8
19915,100.00,8
19927,100.00,8
19940,100.00,8
19952,100.00,8
19965,100.00,8
19975,100.00,8
19988,100.00,8
20001,100.00,8
20011,100.00,8
20023,100.00,8
20036,100.00,8
20048,100.00,8
20061,100.00,8
20073,100.00,8
20086,80.00,8
20098,80.00,8
20110,80.00,8
20123,80.00,8
20136,80.00,8
20147,100.00,8
20160,100.00,8
20173,100.00,8
20185,100.00,8
20198,100.00,8
20208,100.00,8
20219,100.00,8
20230,100.00,8
20243,100.00,8
20255,100.00,8
20268,100.00,8
20279,100.00,8
20292,100.00,8
20304,100.00,8
20316,100.00,8
20329,100.00,8
20341,100.00,8
20354,100.00,8
20366,100.00,8
20379,100.00,8
20391,100.00,8
20403,100.00,8
20415,100.00,8
20427,100.00,8
20440,100.00,8
20452,100.00,8
20465,100.00,8
20478,100.00,8
20490,100.00,8
20503,100.00,8
20515,100.00,8
20528,100.00,8
20540,100.00,8
20553,100.00,8
20565,100.00,8
20577,100.00,8
20590,100.00,8
20602,100.00,8
20615,100.00,8
20627,100.00,8
20640,100.00,8
20652,100.00,8
20665,100.00,8
20677,100.00,8
20690,100.00,8
20702,100.00,8
20715,100.00,8
20727,100.00,8
